,uid,latitude,longitude,name,city,st,zip,cat,elev,comments,height
3868,184938,35.020751000000004,-85.363198,Low Clearance,Chattanooga,TN,37419,LC10,,10 - 4 height clearance (136),10.4
3869,184939,35.041453000000004,-85.302707,Low Clearance,Chattanooga,TN,37403,LC13,,13 - 1 height clearance (136),13.1
3870,184940,35.041994,-85.301672,Low Clearance,Chattanooga,TN,37403,LC13,,13 - 0 height clearance (136),13.0
3871,184941,35.042763,-85.300197,Low Clearance,Chattanooga,TN,37403,LC13,,13 - 8 height clearance,13.8
3872,184942,35.013837,-85.32798299999997,Low Clearance,Chattanooga,TN,37409,LC13,,13 - 1 height clearance (136),13.1
3873,184943,35.011423,-85.32216899999997,Low Clearance,Chattanooga,TN,37410,LC7,,6 - 6 height clearance (136),6.6
3874,184944,36.981664,-86.464534,Low Clearance,Bowling Green,KY,42101,LC14,,14 - 11 height clearance,14.11
3875,184945,37.011584,-86.390113,Low Clearance,Bowling Green,KY,42101,LC14,,14 - 7 height clearance,14.7
3876,184946,37.330076,-87.499543,Low Clearance,Madisonville,KY,42431,LC13,,13 - 6 height clearance,13.6
3877,184947,37.841926,-87.58685200000002,Low Clearance,Henderson,KY,42420,LC13,,13 - 7 height clearance,13.7
3878,184948,37.339641,-87.488061,Low Clearance,Madisonville,KY,42431,LC9,,9 - 6 height clearance (136),9.6
3879,184949,37.071063,-88.636741,Low Clearance,Paducah,KY,42001,LC13,,13 - 10 height clearance,13.1
3880,184950,37.07385,-88.640836,Low Clearance,Paducah,KY,42001,LC12,,12 - 6 height clearance (136),12.6
3881,184951,37.12768,-88.747991,Low Clearance,West Paducah,KY,42086,LC10,,10 - 2 height clearance (136),10.2
3882,184952,37.050683,-88.60633,Low Clearance,Paducah,KY,42003,LC11,,11 - 4 height clearance (136),11.4
3883,184953,37.904081,-86.403326,Low Clearance,Irvington,KY,40146,LC10,,10 - 0 height clearance (136),10.0
3884,184954,38.226534,-85.766848,Low Clearance,Louisville,KY,40208,LC14,,14 - 5 height clearance,14.5
3885,184955,38.229367,-85.76770400000002,Low Clearance,Louisville,KY,40208,LC13,,13 - 6 height clearance,13.6
3886,184956,38.246416,-85.77185,Low Clearance,Louisville,KY,40210,LC14,,14 - 0 height clearance,14.0
3887,184957,38.248125,-85.77488699999998,Low Clearance,Louisville,KY,40203,LC13,,13 - 10 height clearance,13.1
3888,184958,38.249494,-85.77462,Low Clearance,Louisville,KY,40203,LC12,,12 - 8 height clearance (136),12.8
3889,184959,38.250821,-85.774383,Low Clearance,Louisville,KY,40203,LC14,,14 - 1 height clearance,14.1
3890,184960,38.251893,-85.774203,Low Clearance,Louisville,KY,40203,LC12,,12 - 7 height clearance (136),12.7
3891,184961,38.253008,-85.774036,Low Clearance,Louisville,KY,40203,LC12,,12 - 5 height clearance (136),12.5
3892,184962,38.255691,-85.77356400000002,Low Clearance,Louisville,KY,40203,LC13,,13 - 3 height clearance (136),13.3
3893,184963,38.257071,-85.773333,Low Clearance,Louisville,KY,40203,LC13,,13 - 9 height clearance,13.9
3894,184964,38.274601,-85.795697,Low Clearance,Louisville,KY,40212,LC11,,11 - 5 height clearance (136),11.5
3895,184965,38.271686,-85.79742399999998,Low Clearance,Louisville,KY,40212,LC14,,14 - 0 height clearance,14.0
3896,184966,38.260458,-85.802613,Low Clearance,Louisville,KY,40212,LC13,,13 - 9 height clearance,13.9
3897,184967,38.256233,-85.803143,Low Clearance,Louisville,KY,40212,LC11,,11 - 7 height clearance (136),11.7
3898,184980,38.208845,-85.212987,Low Clearance,Shelbyville,KY,40065,LC10,,10 - 2 height clearance (136),10.2
3899,184981,38.219309,-85.75538399999998,Low Clearance,Louisville,KY,40208,LC15,,15 - 8 height clearance,15.8
3900,184982,38.224936,-85.753715,Low Clearance,Louisville,KY,40208,LC13,,13 - 7 height clearance,13.7
3901,184983,38.249371,-85.731408,Low Clearance,Louisville,KY,40204,LC13,,13 - 10 height clearance,13.1
3902,184984,38.249732,-85.73113000000002,Low Clearance,Louisville,KY,40206,LC14,,14 - 1 height clearance,14.1
3903,184985,38.253684,-85.72066,Low Clearance,Louisville,KY,40206,LC13,,13 - 0 height clearance (136),13.0
3904,184986,38.253719,-85.718293,Low Clearance,Louisville,KY,40206,LC13,,13 - 4 height clearance (136),13.4
